maizegdp_id,uniprot_id
Zm00001d001838,A0A1D6DTG4
Zm00001d002562,A0A060D1M1
Zm00001d002929,C0PGA8
Zm00001d003601,A0A1D6E9Y9
Zm00001d003601,A0A1D6E9Y3
Zm00001d003601,A0A1D6E9Y6
Zm00001d003601,A0A1D6E9Y1
Zm00001d003601,A0A1D6E9Y2
Zm00001d003601,A0A1D6E9Y4
Zm00001d003601,A0A1D6E9Y8
Zm00001d003601,A0A1D6E9Y5
Zm00001eb014280,C6G8A7
Zm00001eb9999999, 
